newsId,deliveredDate,sessionId,rank,title,source,category,summary
ai-news-20260512-4f0cb4-01-6ea84b118b,2026-05-12,cron_4f0cb4fb688c_20260512_230048,1,中国试图获取Anthropic最新模型遭拒，美国AI领先优势扩大,The New York Times*（5月12日）,安全/网络安全,OpenAI的ChatGPT 5.5与Anthropic的Mythos模型使美国在AI领域领先中国达9个月至1年，中国寻求获取Anthropic最新模型被明确拒绝。
ai-news-20260512-4f0cb4-02-61ab911d48,2026-05-12,cron_4f0cb4fb688c_20260512_230048,2,"Google警告：AI驱动的黑客攻击已达""工业规模""",The Guardian*（5月11日）,安全/网络安全,"Google报告称AI驱动黑客攻击在过去三个月呈爆炸式增长，Anthropic的Mythos模型已发现""所有主流操作系统和浏览器""中的零日漏洞。"
ai-news-20260512-4f0cb4-03-c042ac196a,2026-05-12,cron_4f0cb4fb688c_20260512_230048,3,Nvidia 2026年AI股权投资突破400亿美元,CNBC / The AI Insider*（5月9-11日）,算力/基础设施,Nvidia今年在AI领域股权投资已超400亿美元，其中单笔最大为对OpenAI的300亿美元注资，另有7笔以上其他AI投资。
ai-news-20260512-4f0cb4-04-a6ef68a6f5,2026-05-12,cron_4f0cb4fb688c_20260512_230048,4,DeepSeek首次外部融资，估值达500亿美元,Reuters / Financial Times*（5月6-8日）,算力/基础设施,中国AI明星公司DeepSeek启动史上首次外部融资，中国芯片大基金与腾讯等领投，拟融资30-40亿美元，估值最高500亿美元。
ai-news-20260512-4f0cb4-05-34582e3ed0,2026-05-12,cron_4f0cb4fb688c_20260512_230048,5,OpenAI发布GPT-5.5 Instant，年收入突破250亿美元,OpenAI官方*（5月7日）,融资/资本市场,GPT-5.5 Instant正式发布，主打更智能、更清晰、更个性化。同时OpenAI年化收入已突破250亿美元，正考虑2026年底前IPO。
ai-news-20260512-4f0cb4-06-403fe4677a,2026-05-12,cron_4f0cb4fb688c_20260512_230048,6,白宫推动AI预发布审查，微软/Google/xAI配合,CNN / CNBC*（5月5日）,安全/网络安全,继Anthropic的Mythos引发安全担忧后，微软、Google、xAI同意在模型发布前交由美国商务部AI标准与创新中心进行预审查。
ai-news-20260512-4f0cb4-07-29f0885c20,2026-05-12,cron_4f0cb4fb688c_20260512_230048,7,Anthropic承诺在Google云与芯片投入2000亿美元,Reuters*（5月5日）,算力/基础设施,Anthropic与Google签署巨额合同，承诺在Google云服务和芯片上投入2000亿美元。Anthropic与OpenAI的合同目前已占全球主要云服务商2万亿美元订单积压的一半以上。
ai-news-20260512-4f0cb4-08-2639d36d92,2026-05-12,cron_4f0cb4fb688c_20260512_230048,8,Mistral发布128B旗舰模型，Le Chat上线Agent模式,AIToolsRecap*（5月3日）,产品/模型,法国AI公司Mistral推出128B参数旗舰模型，支持异步云端编程会话，并在Le Chat平台上线Work Agent模式，加速AI Agent落地。 📌 以上新闻综合自Reuters、NYT、CNBC、CNN、The Guardian、OpenAI官方等权威来源，覆盖过去一周（5月3日–12日）关键动态。
ai-news-20260513-4f0cb4-01-7a9ebf5e4c,2026-05-13,cron_4f0cb4fb688c_20260513_230022,1,OpenAI年收入突破250亿美元，筹备2026年底IPO,CNBC / crypto.news / PitchBook,企业应用,概要： OpenAI年化营收已突破250亿美元（月收入约20亿美元），企业业务占收入40%，公司估值达8520亿美元，正积极筹备最早于2026年Q4上市。
ai-news-20260513-4f0cb4-02-f6b8b21817,2026-05-13,cron_4f0cb4fb688c_20260513_230022,2,Apple iOS 27将向第三方AI模型全面开放,Bloomberg / Reuters / TechCrunch（5月5-6日）,产品/模型,"概要： Apple计划在iOS 27中推出""Extensions""系统，允许用户将Siri、Writing Tools和Image Playground的底层模型替换为Claude、Gemini等第三方AI模型，iPhone将变身AI应用平台。"
ai-news-20260513-4f0cb4-03-a033d8ae09,2026-05-13,cron_4f0cb4fb688c_20260513_230022,3,白宫考虑对前沿AI模型实施预发布安全审查,POLITICO / Fortune（5月5-7日）,安全/网络安全,"概要： 特朗普政府突然转向AI监管，正讨论要求AI公司在发布高级模型前获得政府""绿灯""，并可能动用情报机构对模型进行预评估。此前白宫曾发表""创新优先""声明试图淡化监管色彩。"
ai-news-20260513-4f0cb4-04-0ba07ab642,2026-05-13,cron_4f0cb4fb688c_20260513_230022,4,Meta发布Muse Spark：首款旗舰闭源大模型,Crescendo AI / Air Street Press,产品/模型,概要： Meta推出Muse Spark，这是首席AI官Alexandr Wang领导的Superintelligence Labs打造的首款旗舰大模型，标志着Meta从Llama开源战略转向闭源专有模型。
ai-news-20260513-4f0cb4-05-e80cc981dc,2026-05-13,cron_4f0cb4fb688c_20260513_230022,5,Sierra获9.5亿美元融资，企业AI赛道白热化,TechCrunch（5月4日）,企业应用,概要： Bret Taylor创办的AI初创公司Sierra完成9.5亿美元融资（Tiger Global和GV领投），投后估值超150亿美元。该公司专注于企业级AI解决方案。
ai-news-20260513-4f0cb4-06-ae1f540a7e,2026-05-13,cron_4f0cb4fb688c_20260513_230022,6,Claude与GPT-5.5双双突破完整网络攻击链路测试,Air Street Press（State of AI: May 2026）,安全/网络安全,概要： Anthropic的Claude Mythos Preview率先完成32步端到端网络攻击测试，OpenAI的GPT-5.5在三周后也达成同样里程碑——这是AI安全能力边界的重大突破，也引发安全隐忧。
ai-news-20260513-4f0cb4-07-50b9475d7a,2026-05-13,cron_4f0cb4fb688c_20260513_230022,7,Google发布Gemma 4开源模型·Gemini深度嵌入Android,devFlokers / CNBC（5月4日/5月12日）,产品/模型,概要： Google发布Gemma 4开源模型家族，推动推理能力民主化；同时在最新Android版本中将Gemini打造为贯穿手机、Chrome、笔记本和汽车的全平台AI层，力图在Apple的AI反击之前抢占生态位。
ai-news-20260513-4f0cb4-08-7883c30038,2026-05-13,cron_4f0cb4fb688c_20260513_230022,8,欧盟就简化AI监管规则达成临时协议,欧盟理事会（5月7日）,监管/政策,📌 补充： 科罗拉多州AI法案SB 26-189今日（5月13日）面临立法会期截止，可能进行表决；xAI的Grok 4.3推理模型已在Oracle云上线，在τ²-Bench电信场景达98%得分率；DeepSeek于4月24日发布了V4大模型预览版，全球AI竞赛持续升温。
ai-news-20260514-4f0cb4-01-4e43691bce,2026-05-14,cron_4f0cb4fb688c_20260514_230059,1,Anthropic 洽谈天价融资，估值冲向9500亿美元,The New York Times*（5月12日）,融资/资本市场,Anthropic 正与投资者洽谈新一轮融资，金额在 300亿至500亿美元 之间，投后估值可能高达 9500亿美元。若完成，这将是史上最大规模的AI公司融资案。
ai-news-20260514-4f0cb4-02-ff10eb045a,2026-05-14,cron_4f0cb4fb688c_20260514_230059,2,"OpenAI 成立""部署公司""，$40亿进军企业AI服务",Reuters / Axios*（5月11日）,企业应用,OpenAI 宣布成立 OpenAI Deployment Company，获TPG等19家投资方逾 40亿美元 初始资金，并收购AI咨询公司 Tomoro，帮助企业落地部署AI系统。OpenAI 保持多数股权和控制权。
ai-news-20260514-4f0cb4-03-fc189566ff,2026-05-14,cron_4f0cb4fb688c_20260514_230059,3,美国AI监管升级：政府将预审Google、微软、xAI新模型,CNN / Forbes*（5月5日）,安全/网络安全,特朗普政府旗下 AI标准与创新中心(CAISI) 与Google DeepMind、微软、xAI 达成协议，在AI模型公开发布前进行国家安全风险评估（网络安全、生物安全、化学武器）。此前OpenAI和Anthropic已签署类似协议。
ai-news-20260514-4f0cb4-04-1af364e50b,2026-05-14,cron_4f0cb4fb688c_20260514_230059,4,Sam Altman 出庭作证：否认背叛Elon Musk,Reuters*（5月12日）,产品/模型,OpenAI CEO Sam Altman 在法庭上否认背叛 Elon Musk，为OpenAI向营利实体转型辩护。此案是Musk诉OpenAI违约的核心庭审。
ai-news-20260514-4f0cb4-05-a0af6a0be7,2026-05-14,cron_4f0cb4fb688c_20260514_230059,5,Anthropic Mythos 模型引发安全恐慌，美国银行紧急修补漏洞,Reuters*（5月12日）,安全/网络安全,"Anthropic 的 Mythos 模型在网络安全能力上""远超""其他模型，引发美国政府、银行和公用事业公司的广泛担忧。Anthropic已限制该模型仅对少数获批组织开放，并已向美国政府高层做专项简报。"
ai-news-20260514-4f0cb4-06-a3363f069e,2026-05-14,cron_4f0cb4fb688c_20260514_230059,6,"Google报告：AI驱动黑客攻击三个月内爆发为""工业级威胁""",The Guardian*（5月11日）,安全/网络安全,Google 威胁情报团队发布报告指出，最新AI模型在代码能力上的突破使其成为大规模利用软件漏洞的强力工具，AI黑客攻击在过去三个月呈现工业级规模爆发。
ai-news-20260514-4f0cb4-07-f9aa02ceb2,2026-05-14,cron_4f0cb4fb688c_20260514_230059,7,美国批准约10家中国公司购买Nvidia H200，但零交付,Reuters*（5月14日）,算力/基础设施,美国政府已批准约10家中国公司购买Nvidia H200（第二强AI芯片），但截至发稿，实际交付量为零，凸显中美AI芯片贸易仍面临执行层面的障碍。
ai-news-20260514-4f0cb4-08-a81ec59d45,2026-05-14,cron_4f0cb4fb688c_20260514_230059,8,Robinhood联合创始人为AI数据中心造火箭,Radical Data Science*（5月13日）,算力/基础设施,Robinhood 联合创始人 Baiju Bhatt 为其新公司 Cowboy Space Corporation 融资 2.75亿美元，估值达20亿美元。目标：将AI数据中心送入太空轨道，以解决地面算力中心的能源和散热瓶颈。
ai-news-20260516-4f0cb4-01-f94ddcf98a,2026-05-16,cron_4f0cb4fb688c_20260516_230009,1,OpenAI与马耳他合作，向居民提供一年ChatGPT Plus,Reuters / OpenAI,监管/政策,OpenAI与马耳他政府达成合作，居民完成AI使用课程后可获得一年ChatGPT Plus访问权限。
ai-news-20260516-4f0cb4-02-c9e67af883,2026-05-16,cron_4f0cb4fb688c_20260516_230009,2,ChatGPT推出个人理财预览功能,OpenAI / The Verge / 9to5Mac,产品/模型,OpenAI面向美国Pro用户预览个人理财体验，可通过Plaid连接金融账户并在ChatGPT中查询支出和财务洞察。
ai-news-20260516-4f0cb4-03-6f1b2e74c2,2026-05-16,cron_4f0cb4fb688c_20260516_230009,3,OpenAI Codex进入ChatGPT移动端,OpenAI / Business Standard / The Hindu,产品/模型,Codex开始在iOS和Android版ChatGPT中预览，用户可用手机远程查看、批准和管理AI编程任务。
ai-news-20260516-4f0cb4-04-934890b32d,2026-05-16,cron_4f0cb4fb688c_20260516_230009,4,xAI发布Grok Build早期Beta版编程智能体,xAI / Engadget,产品/模型,xAI推出面向开发者的终端原生AI编程工具Grok Build，加入与OpenAI Codex、Anthropic Claude Code的竞争。
ai-news-20260516-4f0cb4-05-9f171c2405,2026-05-16,cron_4f0cb4fb688c_20260516_230009,5,Moonshot AI推出Kimi WebBridge浏览器代理插件,Decrypt / Aibase,产品/模型,Kimi WebBridge可让AI代理在本地控制Chrome/Edge浏览器执行点击、输入、滚动和信息提取，强调数据留在本机。
ai-news-20260516-4f0cb4-06-d7ac787d30,2026-05-16,cron_4f0cb4fb688c_20260516_230009,6,Anthropic发布“2028全球AI领导力”情景报告,Anthropic / eWeek / India Today,安全/网络安全,Anthropic讨论2028年前后AI能力跃迁与美中竞争情景，强调先进AI可能重塑全球技术与安全格局。
ai-news-20260516-4f0cb4-07-85133109a4,2026-05-16,cron_4f0cb4fb688c_20260516_230009,7,Hacktron获290万美元Pre-seed融资，做AI安全测试,GlobeNewswire,安全/网络安全,网络安全初创公司Hacktron完成290万美元融资，计划把AI驱动的攻击式安全测试嵌入每次代码变更流程。
ai-news-20260516-4f0cb4-08-33eda5c631,2026-05-16,cron_4f0cb4fb688c_20260516_230009,8,AI芯片繁荣引发三星劳资紧张，供应链风险受关注,Reuters,算力/基础设施,三星韩国工会酝酿18天大罢工，超过4.5万名员工要求分享AI内存芯片景气红利，可能影响AI数据中心关键供应链。
ai-news-20260512-72b855-01-b36981243f,2026-05-12,cron_72b8559a0f49_20260512_210047,1,Google首次确认：黑客利用AI自主发现零日漏洞,The Guardian / Reuters / NYT（5月11-12日）,安全/网络安全,"Google威胁情报团队报告，犯罪分子首次使用AI自主扫描并发现未知软件漏洞（零日漏洞），AI驱动黑客攻击在短短三个月内""从萌芽问题发展为工业化规模威胁""。"
ai-news-20260512-72b855-02-e9bc0197a5,2026-05-12,cron_72b8559a0f49_20260512_210047,2,马斯克诉奥特曼案第三周：微软CEO纳德拉出庭作证,ABC7（5月12日）,产品/模型,奥克兰联邦法院开庭第三周，微软CEO萨提亚·纳德拉就OpenAI与微软的合作关系出庭作证，案件聚焦两位亿万富翁在AI发展道路上的背叛与野心之争。
ai-news-20260512-72b855-03-9c2bf289f2,2026-05-12,cron_72b8559a0f49_20260512_210047,3,DeepSeek首次募资，估值或达500亿美元,Reuters（5月6日）,融资/资本市场,中国AI明星DeepSeek启动史上首轮外部融资，估值可能高达500亿美元，打破其多年来拒绝外部资金的一贯策略。
ai-news-20260512-72b855-04-c946fe38ca,2026-05-12,cron_72b8559a0f49_20260512_210047,4,美国商务部扩大AI安全审查：Google、微软、xAI纳入监管,BBC / CNBC / Fortune（5月5日）,安全/网络安全,特朗普政府商务部与Google、微软、xAI签署新协议，要求其在发布最强AI模型前接受政府安全评估，延续并扩展了拜登时期对OpenAI和Anthropic的监管框架。
ai-news-20260512-72b855-05-bd528e3664,2026-05-12,cron_72b8559a0f49_20260512_210047,5,OpenAI与Anthropic双双杀入企业AI服务市场,TechCrunch / CRN（5月4-5日）,企业应用,"OpenAI推出40亿美元投入的""开发公司""(The Development Company)，数小时后Anthropic宣布类似的企业AI服务合资计划，两大AI巨头从模型竞赛延伸至企业服务战场。"
